tweetId	text	target	#1Annotator	#2Annotator	#3Annotator	majorityLabel
1252894220664307714	زن و مرد نداره، ما معتقد به برابری جنسیتی هستیم.	barabariJensiati	FAVOR	FAVOR	FAVOR	FAVOR
1252744217367138305	کلیشه برعکس یک هشتگ واقعا مزخرفه، انجام یک کار ذاتا غلط رو به بهانه برابری جنسیتی توجیه میکنه، در حالی که اون‌کار از ریشه غلطه	barabariJensiati	NEITHER	FAVOR	NEITHER	NEITHER
1252680309126189057	تو جوامع مردسالار مثل ما اینچیزا رو عادی میدونن اصلا فکر اینکه این برخورد چه تاثیری روی طرف مقابل داره رو نمیکنن. تو کشورهایی که تقریبا به برابری جنسیتی رسیدن فقط افراد مریض از اینکارو میکنن.	barabariJensiati	FAVOR	FAVOR	FAVOR	FAVOR
1252588012623577089	حتی خود فمنیستام درکی از برابری جنسیتی ندارن	barabariJensiati	AGAINST	FAVOR	NEITHER	-
1252557557744402432	@ebtekarm_ir  کجایی؟  بگو دقیقا کجایی؟؟  موضوع محوری امسال ”عدالت جنسیتی” در واقع همون ”برابری جنسیتی” یه ذره شرحش بدیم و بحث کنیم و ازبرنامه هاتون مثال بزنیم میرسیم به ”دیدگاه فمنیستی” و واقعا این جزو اولویت و دغدغه های چندم یک زن انقلاب اسلامی است؟؟ به کدام سمت حرکت می کنین؟!	barabariJensiati	AGAINST	FAVOR	NEITHER	-
1252346984448446465	مشخصا آیا این رفتار ناپسند اسست یا خیر؟ شما میبینید در جوامع اروپایی روز به روز بر محجبه ها افزوده میشود؟ پس همانند گاوپرستی یا مشروبخوری یا گدایی صفت مذمومی دربین عموم ملتها نیست! دوما این حجاب در اجتماع است ونه در خانواده ونمایش های جنسیتی منافات با برابری دارد وجوینده برابری	barabariJensiati	NEITHER	FAVOR	FAVOR	FAVOR
1252327577949212672	زنان جامعه ما چون برابری جنسیتی نیست اعتناد به نفس ندارن و اغلب برای همین استرس و ترس زیادی دارن	barabariJensiati	FAVOR	FAVOR	FAVOR	FAVOR
1252286282711130114	فمینیست به شخصی خطاب میشه که فمینیسم رو می‌شناسه، قبول داره و چهارچوبش رو می‌شناسه. و فمینیسم هم همون خود داستانه که مربوط به برابری جنسیتی و چند چیز دیگه‌ست. پس شما که ادعات میشه و میگی من فمینیسم هستم یکم مضحک بنظر می‌رسی، یکم که چه عرض کنم :))  #یاد_بگیریم #فمینیسم #فمینیست	barabariJensiati	NEITHER	FAVOR	NEITHER	NEITHER
1252259754874933251	شاید یکی از دلایل بیشتر بودن آمار مردان مبتلا و فوت شده بر اثر #کرونا در دنیا در قیاس با زنان، احترام به #کرامت_زن در اکثر جوامع بشری، با وجود همه تلاش ها در راستای دکترین #برابری_جنسیتی، باشد. ایران هم از این قاعده مستثنی نیست!	barabariJensiati	AGAINST	FAVOR	NEITHER	-
1252235273842290690	«نه به حق طلاق مرد» + «نه به حق طلاق زن» رابطه‌ای که دوطرفه و با توافق شکل گرفته، باید دوطرفه و با توافق طرفین به پایان برسه. جسارتاً برابری جنسیتی به معنی زن‌سالاری یا مردسالاری نیست.	barabariJensiati	FAVOR	FAVOR	FAVOR	FAVOR
1252017886199152646	يه سرى احمقايى هستن كه هرچى ميشه ميان هرجايى ميشه بحث #برابرى_جنسيتى رو مطرح ميكنن. يعنى مثلن يه ويديو ميبينى توش ميخواد يه رفتار رو نقد كنه ، سريع ميچسبن به اينكه چرا اين زن رفتار بد رو انجام داده. البته موضوعاتى هم هست مثل#دخترخنگ كه ايده به شدت جنسيت زده اى هست/...	barabariJensiati	NEITHER	NEITHER	FAVOR	NEITHER
1251957291060023296	مشکل شاید بیشتر از کلمه اون رویکردیه که به جای پیدا کردن ریشه، سراغ مقصر تراشی میره و اون مقصر رو هم درست مثل نظامی که سازنده‌ی این نابرابریه جنسیتی انتخاب میکنه. برابری نیازمند یک دید فرا جنسیتیه و این اگرچه در دهه نود ممکن بود جدید و غیر معمول به نظر برسه الان باید بدیهی باشه.	barabariJensiati	FAVOR	FAVOR	FAVOR	FAVOR
1251890926865264641	شما برابری جنسیتی رو قائل شین؛ یه رساله هم بدین من حتما مقلدتون میشم	barabariJensiati	FAVOR	AGAINST	FAVOR	FAVOR
1251825919771238400	به دلیل اینکه اونها تنها به ظاهر اهل هنر یا به دنبال درک یا پیشروی در فلسفه بوده اند. ماهیت هنر و فلسفه با چنین معنایی(عدم برابری جنسیتی) متضاده. درواقع تنها ژست هنرمند بودن یا اهل فلسفه بودن و درکش.	barabariJensiati	FAVOR	FAVOR	FAVOR	FAVOR
1251640834468036612	آن‌ارتدکس نتفلیکس قصه ی یک دین و ملت نیست، داستان قرنها رنج جنس زن در تاریخ بشرست. تاریخی که فقط به دست مردان نوشته شده. کاش مرد عصر مدرن و پسامدرن شلش کند و زودتر به منزلگاه برابری و تساوی جنسیتی برسیم و زنان سهم برابری در نوشتن تاریخ بشریت داشته باشند.	barabariJensiati	FAVOR	FAVOR	FAVOR	FAVOR
1251629647818784776	مبلغ دینی که بویی از آزادی و برابری جنسیتی نبرده لایق توهینه. مقلد هاش هزاران برابر بیشتر از اون لایق توهینن. گوسفندید همتون	barabariJensiati	FAVOR	FAVOR	FAVOR	FAVOR
1251582077692268544	کار درستی میکنی.برابری جنسیتی یک مولفه در دوران ماست و ما همه بهتر بپذیریمش فارغ از اینکه دلیلی به نفعش هست یانه. من صرفا خواستم یاداوری کنم این نکته در زمان ما بدیهیه اما برای یه قرن پیش بدیهی نبوده.	barabariJensiati	FAVOR	FAVOR	FAVOR	FAVOR
1251522253579313152	خانم من سالهاست اروپا زندگی کردم بالاترین سطح برابری جنسیتی رو تجربه کردم  افکار بی سواد ترین مردم هم جنسیت زده شده  در محیط کار هم کاملا به تطابق با جنسیت شما توجه میشه  آگاهی جنسی هم اونقدر بالاست که سقط جنین به یک کابوس بدل نمیشه مادران مجرو هم حمایت میشن	barabariJensiati	NEITHER	FAVOR	FAVOR	FAVOR
1251377868669620224	به گفته او، وقتی پای مسائلی نظیر مهاجرت یا آزادی و برابری جنسیتی به میان می‌آید قضاوت‌های اخلاقی تندتر و نگرش‌های اجتماعی محافظه‌کارانه‌تری خواهیم داشت و یادآوری روزانه #کرونا ممکن است حتی گرایش‌های سیاسی‌مان را هم تحت تأثیر قرار دهد.	barabariJensiati	FAVOR	NEITHER	NEITHER	NEITHER
1251368109505540097	جامعه را بر اساس تخصص و با نظام شایسته سالاری مدیریت می کنند نه بر اساس جنسیت و مذهب و نژاد و ... این تفکر شما خودش یک تفکر سکسیستی است و ضد حقوق زنان و برابری جنسیتی	barabariJensiati	FAVOR	FAVOR	FAVOR	FAVOR
1251237575852847105	حقوق اگر به معنای حقوق اولیه مثل حق تحصیل و حق رای و باقی حقوق شهروندی باشه، بله باید فارغ از رنگ و جنس، برابر باشه.اما وقتی مسئولیت دو جنس مرد و زن مشابه نیست، یک سری حقوق نمیتونن مساوی باشن.برابری جنسیتی محض طبق امارهایی که جردن پیترسن ارائه داد، بیشتر موجب شکاف جنسیتی شد.	barabariJensiati	AGAINST	AGAINST	FAVOR	AGAINST
